A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2016-01-06 12:00,2016,1,6,12,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 13:00,2016,1,6,13,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 14:00,2016,1,6,14,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 15:00,2016,1,6,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 16:00,2016,1,6,16,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 17:00,2016,1,6,17,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 18:00,2016,1,6,18,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 19:00,2016,1,6,19,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 20:00,2016,1,6,20,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 21:00,2016,1,6,21,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 22:00,2016,1,6,22,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-06 23:00,2016,1,6,23,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 00:00,2016,1,7,0,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 01:00,2016,1,7,1,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 02:00,2016,1,7,2,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 03:00,2016,1,7,3,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 04:00,2016,1,7,4,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-07 05:00,2016,1,7,5,7,µg/m³,1 Hr,Valid
